X,Y,OBJECTID,SH,RS,RP,siteRef,lane,type,percentHeavy,equipmentCurrent,description,region,acceptedDays,AADT5yearsAgo,AADT4yearsAgo,AADT3yearsAgo,AADT2yearsAgo,AADT1yearAgo,siteType
1687583.2763,6092784.9807,1,10,0,7.38000011444092,01000007,Both,Non-Continuous,7.8,Dual Loop,Sth of Puketona Rd (SH11),01 - Northland,27,5401,5501,4954,5376,5809,Regional Non-Continuous
1686763.3872,6095527.6731,2,10,7,3.00999999046326,01000011,Both,Non-Continuous,6.3,Dual Loop,Nth of Wakelin Rd (about 3.5km north of SH11),01 - Northland,28,9737,9952,9001,9761,10196,Regional Non-Continuous
1683979.594,6099668.5755,3,10,7,8.22999954223633,01000015,Both,Non-Continuous,6.9,Dual Loop,Springbank Road 1km south of Waimate Nth Rd,01 - Northland,35,7201,7918,7419,7971,8017,Regional Non-Continuous
1680410.7298,6110298.5976,4,10,17,11.1400003433228,01000029,Both,Continuous,7,Dual Loop,About 1km south of Takou Bay Rd,01 - Northland,340,4704,4934,4853,4754,5117,Regional Continuous
1658992.7702,6124061.6402,5,10,48,11.9300003051758,01000060,Both,Non-Continuous,8.7,Dual Loop,About 1.1 km north of Salvation Rd,01 - Northland,21,2458,2621,2913,2981,2974,Regional Non-Continuous
1643685.2316,6127915.6254,6,10,79,2.20000004768372,01000076,Both,Non-Continuous,,Dual Loop,By Doubtless Bay Croquet Club 50-100m W of Stratford Dr Cable Bay,01 - Northland,,4568,4668,4668,5226,,Regional Non-Continuous
1633983.2404,6128180.4005,7,10,79,12.8599996566772,01000092,Both,Non-Continuous,5.3,Dual Loop,East of Lake Ohia Bridge midway btwn Inland Rd & Pekerau Rd,01 - Northland,6,3427,3547,3830,4007,3670,Regional Non-Continuous
1699123.3243,6086403.7851,8,11,0,3.74000000953674,01100004,Both,Non-Continuous,3.6,Dual Loop,Sth of Taumarere Bridge just N of level crossing N of Kawakawa,01 - Northland,28,2048,2899,2857,2702,2829,Regional Non-Continuous
1699880.0493,6093656.917,9,11,0,13.9460000991821,01100013,Both,Continuous,,Dual Loop,Nth of Waimangaro Rd (actually just S of Waimangaro R btwn Paihia & Opua),01 - Northland,,5172,5246,5595,4155,,Regional Continuous
1688538.9412,6093900.0286,10,11,14,13.918999671936,01100027,Both,Continuous,4.2,Dual Loop,Puketona Rd (East of SH10),01 - Northland,354,4562,5424,5263,4957,4881,Regional Continuous
1677516.7036,6084388.2428,11,12,0,4.19999980926514,01200004,Both,Continuous,4.4,Dual Loop,South of Old School Rd (about 7km east of Kaikohe),01 - Northland,365,4303,4414,4132,4255,4225,Regional Continuous
1673356.0302,6081937.4959,12,12,9,1.06599998474121,01200010,Both,Non-Continuous,3.9,Dual Loop,Broadway Kaikohe about 20m west of Quarry Rd,01 - Northland,27,7385,7849,7366,8702,7796,Regional Non-Continuous
1660857.1771,6075419.0817,13,12,17,9.36999988555908,01200026,Both,National,4.1,Telemetry,KAIKOHE - Telemetry Site 102 ,01 - Northland,337,1616,1692,1543,1623,1665,Telemetry
1636737.5429,6071600.1354,14,12,61,0.810000002384186,01200062,Both,Non-Continuous,4.2,Dual Loop,West of Waiotemarama Gorge Rd Pakanae,01 - Northland,14,1491,1509,1397,1358,1449,Regional Non-Continuous
1644164.6457,6064505.6853,15,12,74,5.19000005722046,01200079,Both,Non-Continuous,,Dual Loop,About 200m south of Weka Weka Rd/Goodwin Rd Waimamaku,01 - Northland,,483,416,445,,,Regional Non-Continuous
1648175.0769,6059948.6453,16,12,89,0.0399999991059303,01200089,Both,Non-Continuous,6,Dual Loop,Sth of Wairau River Bridge Waipoua Forest,01 - Northland,14,399,370,338,160,265,Regional Non-Continuous
1655867.2153,6044362.9073,17,12,106,7.21999979019165,01200114,Both,Non-Continuous,10.9,Dual Loop,800m north of Aranga Station Rd,01 - Northland,26,548,476,406,371,385,Regional Non-Continuous
1665292.4442,6039401.0324,18,12,122,3.13000011444092,01200125,Both,Non-Continuous,9.4,Dual Loop,Nth of Ahikiwi Rd,01 - Northland,26,965,884,806,774,753,Regional Non-Continuous
1672263.6711,6027628.1093,19,12,132,8.36999988555908,01200141,Both,Non-Continuous,9.9,Dual Loop,About 1.5km north of Babylon Coast Rd (about 9km north of Dargaville),01 - Northland,26,1164,1164,1132,1042,1047,Regional Non-Continuous
1678144.4087,6021980.0712,20,12,132,19.2700004577637,01200151,Both,Non-Continuous,5.8,Dual Loop,Between Kings Court Av and Logan St Dargaville ,01 - Northland,7,6094,6257,5870,6137,6147,Regional Non-Continuous
1684230.0364,6013818.4219,21,12,153,10.3500003814697,01200163,Both,Non-Continuous,8.7,Dual Loop,North of Curnows Culvert approx 250m south of Mittai Road Mittai,01 - Northland,20,1996,2049,2022,2033,1916,Regional Non-Continuous
1708202.3984,6002273.5352,22,12,185,14.1999998092651,01200198,Both,Non-Continuous,9,Dual Loop,About 1.5km east of Ararua Rd 1km west of Petley Rd,01 - Northland,6,2096,2232,2199,1972,2208,Regional Non-Continuous
1720323.9801,6002006.9656,23,12,202,11.4840002059937,01200214,Both,Non-Continuous,,Dual Loop,East of Blakey Rd by Maungatoroto Stockpile ,01 - Northland,,3240,3317,3270,3351,,Regional Non-Continuous
1726239.608,6004396.1206,24,12,202,18.3400001525879,01200220,Both,Continuous,9.4,Dual Loop,East of Brynderwyn Brg 161 (about 2.2km from SH1),01 - Northland,303,3807,3629,3719,3486,3786,Regional Continuous
